id,question,answer,confidence_score,topic,source_url
batch-6532-745d6bac,What is the annual financial benefit provided to eligible farmer families under the PM Kisan Samman Nidhi Yojana?,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) Yojana provides eligible farmer families with a yearly financial benefit of Rs 6,000. This amount is disbursed as minimum income support, aiming to bolster the financial stability of the agricultural sector. The scheme ensures that the funds are provided in three equal installments of Rs 2,000 each throughout the year. This initiative by the government of India serves as a crucial financial buffer for small and marginal farmers, helping them acquire necessary agricultural inputs.",0.8,Providing specific program details to users,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-1e647534,Which Indian ministry is responsible for the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme?,"The Ministry of Agriculture and Farmers Welfare is the Indian governmental body responsible for the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme. This initiative, established on February 1, 2019, aims to provide financial support to farmers across India. The ministry oversees the implementation and administration of this significant welfare program, which offers up to ₹6,000 per year as minimum income support to eligible farmers. Its role is crucial in ensuring the successful delivery of this central sector scheme designed to aid the agricultural hub of the nation.",0.8,Indian government agricultural schemes,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-fda9cddc,What is the official website for the PM Kisan scheme?,"The official website for the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme is pmkisan.gov.in. This online portal serves as a primary resource for information regarding the governmental initiative, which provides eligible farmers with an annual financial benefit of ₹6,000. The website likely offers details on eligibility criteria, application processes, and other relevant updates for beneficiaries. As a key platform, it facilitates access to information about this important welfare scheme managed by the Ministry of Agriculture and Farmers Welfare.",0.8,Accessing and summarizing government scheme information,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-10291a01,When was the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme formally inaugurated and by whom?,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme was formally announced by Piyush Goyal on February 1, 2019, during the 2019 Interim Union Budget of India. However, its official launch event took place on February 24, 2019, when Narendra Modi inaugurated the scheme in Gorakhpur, Uttar Pradesh. At this event, the first installment of ₹2,000 was transferred to over one crore farmers, marking the commencement of the nationwide project. Although the scheme came into effect in December 2018, the public inauguration by the Prime Minister solidified its implementation.",0.8,Providing specific program details to users,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-945bd78d,What are the two mandatory provisions strongly enforced for beneficiaries to uphold eligibility for the PM Kisan Nidhi Yojana?,"The provided reference context details that the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme is primarily designed to support the income of small and marginal farmers. It aims to provide them with additional funds for buying necessary agricultural inputs, serving as a financial buffer for India's agricultural sector. However, the specific mandatory provisions that beneficiaries must uphold to maintain their eligibility for the PM Kisan Nidhi Yojana are not explicitly detailed within the provided text. While the scheme targets eligible farmer families, the documents do not outline specific enforcement criteria beyond the general objective of supporting small and marginal farmers.",0.8,PM Kisan eligibility criteria,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-5c2f198b,"How often are the financial benefits under the PM Kisan Yojana disbursed, and in what installment amounts?","The financial benefits under the PM Kisan Yojana are disbursed to eligible farmer families on a yearly basis. Farmers receive a total of Rs 6,000 per year as minimum income support through this initiative. This annual sum is provided in three distinct installments, with each installment amounting to Rs 2,000. This structured disbursement aims to offer consistent financial aid for agricultural inputs throughout the year.",0.8,Providing specific program details to users,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-56795175,What was the precursor scheme in Telangana that inspired the nationwide implementation of the PM Kisan Samman Nidhi?,"The precursor scheme in Telangana that inspired the nationwide implementation of the PM Kisan Samman Nidhi was the Rythu Bandhu scheme. This initiative, first conceived and implemented by the Government of Telangana, involved directly providing a specific amount of financial support to eligible farmers. The Rythu Bandhu scheme garnered significant accolades for its successful implementation, including recognition from the World Bank. Its positive outcomes demonstrated the effectiveness of direct investment support, leading the Government of India to develop a similar nationwide project.",0.8,Indian government agricultural schemes,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-49d2fc00,"Beyond providing income support, what are the broader objectives of the PM-KISAN scheme as outlined in the reference content?","The PM Kisan Samman Nidhi scheme's broader objectives extend beyond merely providing minimum income support to farmers. While it offers up to ₹6,000 annually as direct financial aid, the initiative is fundamentally designed to act as a vital financial buffer for the agricultural sector across India. Its main goal is to bolster the income of small and marginal farmers by supplying them with additional funds. These funds are specifically intended to facilitate the purchase of essential agricultural inputs, thereby supporting their farming operations and contributing to their financial well-being.",0.8,Providing specific program details to users,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-b2b1679f,Describe the payment mechanism used by the PM Kisan Yojana to ensure transparency and direct delivery of funds to beneficiaries.,"The PM Kisan Yojana utilizes a direct payment mechanism to ensure both transparency and the efficient delivery of financial assistance to its beneficiaries. Under this scheme, eligible farmer families are provided with a total yearly financial benefit of ₹6,000. This sum is systematically disbursed in three equal installments, with each payment amounting to ₹2,000. The initial launch of the scheme involved the direct transfer of the first ₹2,000 installment to over one crore farmers, highlighting its commitment to direct benefit transfer and ensuring funds reach the intended recipients without intermediaries.",0.8,Providing specific program details to users,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
batch-6532-c45e160d,"The PM Kisan Yojana aims to support which specific category of farmers, and what is the primary goal of this financial assistance?","The PM Kisan Yojana primarily aims to support small and marginal farmers in India. Its main goal is to provide these farmers with minimum income support, serving as a financial buffer to the agricultural sector. Specifically, the scheme offers eligible farmer families a yearly financial benefit of Rs 6,000, which is provided as three installments of Rs 2,000 each. This assistance is intended to provide additional funds for buying the necessary agricultural inputs, thereby supporting their income.",0.8,Providing specific program details to users,https://en.wikipedia.org/wiki/Pradhan_Mantri_Kisan_Samman_Nidhi
